# LAMMPS data file created from JH's python
  106 atoms
  3 atom types
  0.000000 10.542200  xlo xhi
  0.000000 10.866000  ylo yhi
  0.000000 10.866000  zlo zhi
  0.000000 0.000000 0.000000  xy xz yz

Masses

1 91.224000
2 15.999400
3 88.905900

Atoms

1 1 +4 6.588875 2.716500 9.960536
2 1 +4 1.317775 2.716500 6.338464
3 1 +4 3.953325 8.149500 0.905464
4 1 +4 9.224425 8.149500 4.527536
5 1 +4 1.317775 2.716500 2.716500
6 1 +4 6.588875 2.716500 2.716500
7 1 +4 9.224425 8.149500 8.149500
8 1 +4 3.953325 8.149500 8.149500
9 1 +4 9.224425 0.905464 0.905464
10 1 +4 3.953325 4.527536 4.527536
11 1 +4 1.317775 6.338464 9.960536
12 1 +4 6.588875 9.960536 6.338464
13 1 +4 1.317775 9.960536 9.960536
14 1 +4 6.588875 6.338464 6.338464
15 1 +4 9.224425 4.527536 0.905464
16 1 +4 3.953325 0.905464 4.527536
17 1 +4 3.953325 0.905464 0.905464
18 1 +4 9.224425 4.527536 4.527536
19 1 +4 6.588875 6.338464 9.960536
20 1 +4 1.317775 9.960536 6.338464
21 1 +4 6.588875 9.960536 9.960536
22 1 +4 1.317775 6.338464 6.338464
23 1 +4 3.953325 4.527536 0.905464
24 1 +4 9.224425 0.905464 4.527536
25 1 +4 9.224425 0.905464 8.149500
26 1 +4 3.953325 4.527536 8.149500
27 1 +4 1.317775 6.338464 2.716500
28 1 +4 6.588875 9.960536 2.716500
29 1 +4 1.317775 9.960536 2.716500
30 1 +4 6.588875 6.338464 2.716500
31 1 +4 9.224425 4.527536 8.149500
32 1 +4 3.953325 0.905464 8.149500
33 2 -2 2.928307 9.960536 4.527536
34 2 -2 2.342793 0.905464 9.960536
35 2 -2 7.613893 4.527536 6.338464
36 2 -2 2.342793 4.527536 9.960536
37 2 -2 7.613893 0.905464 6.338464
38 2 -2 8.199407 9.960536 0.905464
39 2 -2 2.928307 6.338464 4.527536
40 2 -2 2.928201 6.338464 0.905464
41 2 -2 8.199301 9.960536 4.527536
42 2 -2 7.613999 0.905464 9.960536
43 2 -2 2.342899 4.527536 6.338464
44 2 -2 7.613999 4.527536 9.960536
45 2 -2 2.342899 0.905464 6.338464
46 2 -2 2.928201 9.960536 0.905464
47 2 -2 8.199301 6.338464 4.527536
48 2 -2 2.928307 9.960536 8.149500
49 2 -2 2.342793 0.905464 2.716500
50 2 -2 7.613893 4.527536 2.716500
51 2 -2 2.342793 4.527536 2.716500
52 2 -2 7.613893 0.905464 2.716500
53 2 -2 8.199407 9.960536 8.149500
54 2 -2 2.928307 6.338464 8.149500
55 2 -2 8.199407 2.716500 0.905464
56 2 -2 2.928307 2.716500 4.527536
57 2 -2 2.342793 8.149500 9.960536
58 2 -2 7.613893 8.149500 6.338464
59 2 -2 2.928201 2.716500 0.905464
60 2 -2 8.199301 2.716500 4.527536
61 2 -2 7.613999 8.149500 9.960536
62 2 -2 2.342899 8.149500 6.338464
63 2 -2 8.199407 2.716500 8.149500
64 2 -2 2.928307 2.716500 8.149500
65 2 -2 2.342793 8.149500 2.716500
66 2 -2 7.613893 8.149500 2.716500
67 2 -2 0.292757 2.716500 8.149500
68 2 -2 5.563857 2.716500 8.149500
69 2 -2 10.249443 8.149500 2.716500
70 2 -2 4.978343 8.149500 2.716500
71 2 -2 0.292757 2.716500 4.527536
72 2 -2 5.563857 2.716500 0.905464
73 2 -2 10.249443 8.149500 6.338464
74 2 -2 4.978343 8.149500 9.960536
75 2 -2 5.563857 2.716500 4.527536
76 2 -2 0.292757 2.716500 0.905464
77 2 -2 4.978343 8.149500 6.338464
78 2 -2 10.249443 8.149500 9.960536
79 2 -2 10.249443 0.905464 2.716500
80 2 -2 4.978343 4.527536 2.716500
81 2 -2 0.292757 6.338464 8.149500
82 2 -2 5.563857 9.960536 8.149500
83 2 -2 0.292757 9.960536 8.149500
84 2 -2 5.563857 6.338464 8.149500
85 2 -2 10.249443 4.527536 2.716500
86 2 -2 4.978343 0.905464 2.716500
87 2 -2 10.249443 0.905464 6.338464
88 2 -2 4.978343 4.527536 9.960536
89 2 -2 0.292757 6.338464 4.527536
90 2 -2 5.563857 9.960536 0.905464
91 2 -2 0.292757 9.960536 4.527536
92 2 -2 5.563857 6.338464 0.905464
93 2 -2 10.249443 4.527536 6.338464
94 2 -2 4.978343 0.905464 9.960536
95 2 -2 4.978343 0.905464 6.338464
96 2 -2 10.249443 4.527536 9.960536
97 2 -2 5.563857 6.338464 4.527536
98 2 -2 0.292757 9.960536 0.905464
99 2 -2 5.563857 9.960536 4.527536
100 2 -2 0.292757 6.338464 0.905464
101 2 -2 4.978343 4.527536 6.338464
102 2 -2 10.249443 0.905464 9.960536
103 3 +3 1.317775 2.716500 9.960536
104 3 +3 6.588875 2.716500 6.338464
105 3 +3 9.224425 8.149500 0.905464
106 3 +3 3.953325 8.149500 4.527536
